"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Acrobatic Cheerleader","W","C","354946","5.27","50314","7.52","212878","69.8%","54.2%","38567","54.3%","45655","52.6%","84222","53.4%","128307","54.7%","-1.4pp"
"Cult Healer","W","C","393472","6.29","46426","9.31","119088","42.5%","53.6%","20378","52.8%","28173","53.3%","48551","53.1%","70538","54.0%","-0.9pp"
"Dazzling Theater // Prop Room","W","R","50245","4.67","5598","7.19","6344","19.4%","45.0%","1024","36.9%","1439","41.3%","2463","39.5%","3870","48.4%","-8.9pp"
"Dollmaker's Shop // Porcelain Gallery","W","M","6988","1.40","5238","1.37","29589","90.7%","56.8%","5343","63.2%","7114","62.1%","12457","62.6%","17127","52.6%","9.9pp"
"Emerge from the Cocoon","W","C","389547","6.38","46383","9.33","101540","36.8%","51.8%","15876","50.4%","26123","56.4%","41999","54.1%","58864","50.0%","4.1pp"
"Enduring Innocence","W","R","16212","1.59","9999","1.58","55587","90.2%","56.7%","9816","61.4%","13131","58.9%","22947","60.0%","32682","54.3%","5.7pp"
"Ethereal Armor","W","U","90904","3.40","21745","4.15","107469","80.9%","55.7%","17437","56.1%","26077","58.6%","43514","57.6%","63940","54.4%","3.2pp"
"Exorcise","W","U","81116","2.96","22126","3.61","119045","88.5%","55.3%","19834","55.3%","28473","57.6%","48307","56.7%","70639","54.3%","2.4pp"
"Fear of Abduction","W","U","88055","3.28","21472","4.02","106694","81.7%","54.8%","16149","53.7%","26010","57.9%","42159","56.2%","64665","53.8%","2.5pp"
"Fear of Immobility","W","C","377747","5.73","52043","8.31","190915","60.4%","54.8%","29282","52.8%","46307","56.3%","75589","54.9%","115335","54.7%","0.3pp"
"Fear of Surveillance","W","C","295175","4.14","56420","5.67","310172","90.3%","55.4%","56217","56.1%","71032","54.8%","127249","55.4%","182629","55.3%","0.1pp"
"Friendly Ghost","W","C","390304","6.14","51803","8.87","169114","53.7%","55.0%","26678","54.3%","38804","56.3%","65482","55.5%","103454","54.6%","0.8pp"
"Ghostly Dancers","W","R","14842","1.45","10825","1.42","62143","91.1%","57.6%","10460","62.5%","15939","65.7%","26399","64.4%","35732","52.5%","11.9pp"
"Glimmer Seeker","W","U","79184","2.93","21654","3.55","118122","88.7%","55.8%","20454","58.6%","27528","55.9%","47982","57.1%","70203","54.9%","2.1pp"
"Grand Entryway // Elegant Rotunda","W","C","301556","4.13","56798","5.60","287488","83.8%","54.8%","50653","52.8%","67956","55.8%","118609","54.5%","168543","55.0%","-0.5pp"
"Hardened Escort","W","C","383320","6.03","44193","8.98","136710","51.0%","54.2%","23201","54.3%","29764","53.3%","52965","53.8%","83514","54.4%","-0.6pp"
"Jump Scare","W","C","401823","6.52","55327","9.27","163472","48.6%","55.4%","25329","54.4%","36225","56.1%","61554","55.4%","101902","55.5%","-0.1pp"
"Leyline of Hope","W","R","66882","5.95","7590","9.40","603","1.3%","40.6%","0","","125","","125","","477","",""
"Lionheart Glimmer","W","U","93304","3.44","19798","4.38","100005","83.6%","54.8%","15288","54.4%","23645","56.3%","38933","55.6%","60944","54.2%","1.3pp"
"Living Phone","W","C","419107","7.37","46481","10.80","57764","20.6%","53.2%","9814","50.4%","12679","52.0%","22493","51.3%","35130","54.3%","-3.1pp"
"Optimistic Scavenger","W","U","68142","2.57","26931","2.79","144191","86.4%","57.1%","25719","64.8%","34271","57.6%","59990","60.7%","84090","54.6%","6.1pp"
"Orphans of the Wheat","W","U","117549","4.35","19249","5.87","83223","71.4%","54.1%","14888","54.7%","17891","51.9%","32779","53.1%","50255","54.6%","-1.4pp"
"Overlord of the Mistmoors","W","M","6229","1.21","5246","1.19","31574","93.3%","58.9%","5495","68.0%","7792","68.1%","13287","68.0%","18269","52.2%","15.8pp"
"Patched Plaything","W","U","104220","3.82","22136","4.89","108378","80.9%","54.6%","18851","53.9%","24582","54.1%","43433","54.0%","65048","54.9%","-0.9pp"
"Possessed Goat","W","C","405361","6.93","41190","10.40","63522","25.9%","51.6%","11460","52.9%","14618","51.3%","26078","52.0%","37295","51.3%","0.7pp"
"Reluctant Role Model","W","R","19036","1.83","9460","1.86","51327","89.4%","55.4%","9463","59.7%","11842","54.4%","21305","56.7%","29971","54.4%","2.3pp"
"Savior of the Small","W","U","114597","4.28","15325","5.99","58974","64.9%","52.1%","9599","49.7%","13482","51.6%","23081","50.8%","35887","52.8%","-2.0pp"
"Seized from Slumber","W","C","322612","4.64","46712","6.70","211033","74.4%","54.7%","34823","53.8%","51045","57.7%","85868","56.1%","124938","53.6%","2.5pp"
"Shardmage's Rescue","W","U","93907","3.41","23645","4.20","122083","85.1%","55.4%","19447","56.3%","28842","56.6%","48289","56.5%","73741","54.6%","1.9pp"
"Sheltered by Ghosts","W","U","53086","2.08","25547","2.26","145255","91.5%","57.0%","24481","60.0%","34829","62.9%","59310","61.7%","85876","53.7%","8.0pp"
"Shepherding Spirits","W","C","397581","6.27","43981","9.47","114646","43.5%","52.3%","19417","49.4%","27670","53.7%","47087","51.9%","67519","52.6%","-0.6pp"
"Split Up","W","R","22480","2.11","8449","2.22","42880","84.0%","54.9%","7247","56.0%","10226","58.9%","17473","57.7%","25338","52.9%","4.8pp"
"Splitskin Doll","W","U","83517","3.07","27124","3.61","151242","89.7%","57.0%","27426","58.7%","34681","59.0%","62107","58.9%","88782","55.6%","3.2pp"
"Surgical Suite // Hospital Room","W","U","71632","2.69","22399","3.17","120245","87.9%","55.5%","19807","55.5%","28685","58.5%","48492","57.3%","71538","54.3%","3.0pp"
"Toby, Beastie Befriender","W","R","19227","1.83","10385","1.86","58386","89.9%","57.1%","10296","62.7%","13734","60.6%","24030","61.5%","34194","53.9%","7.5pp"
"Trapped in the Screen","W","C","194108","2.85","59259","3.53","331453","91.6%","55.7%","56210","55.3%","79998","59.0%","136208","57.4%","194974","54.5%","3.0pp"
"Unidentified Hovership","W","R","19370","1.87","10490","1.89","56250","87.4%","56.5%","9523","60.3%","13332","61.2%","22855","60.8%","33367","53.6%","7.2pp"
"Unsettling Twins","W","C","359434","5.34","61201","7.38","260999","69.8%","55.7%","43065","56.3%","60209","57.2%","103274","56.8%","157122","54.9%","1.9pp"
"Unwanted Remake","W","U","145922","5.55","13165","8.76","23465","30.3%","49.8%","3757","46.2%","5410","48.7%","9167","47.6%","14286","51.2%","-3.6pp"
"Veteran Survivor","W","U","106892","3.92","20254","5.11","97827","79.0%","55.7%","17290","60.1%","21083","53.4%","38373","56.4%","59297","55.2%","1.3pp"
"The Wandering Rescuer","W","M","7211","1.39","4838","1.37","26137","89.2%","55.2%","4379","58.8%","6305","58.8%","10684","58.8%","15476","52.6%","6.3pp"
"Abhorrent Oculus","U","M","7586","1.49","5369","1.46","30142","91.2%","56.3%","4953","56.7%","8125","61.2%","13078","59.5%","17074","53.8%","5.6pp"
"Bottomless Pool // Locker Room","U","U","79079","2.91","26850","3.41","146799","90.4%","54.8%","24935","54.5%","39402","59.5%","64337","57.6%","81719","52.5%","5.0pp"
"Central Elevator // Promising Stairs","U","R","52842","4.77","9279","6.36","21107","39.1%","49.2%","3436","46.8%","6062","54.6%","9498","51.8%","11648","47.1%","4.7pp"
"Clammy Prowler","U","C","417821","7.40","47796","10.92","61258","21.5%","51.2%","9730","48.5%","15809","52.7%","25539","51.1%","35764","51.2%","-0.1pp"
"Creeping Peeper","U","C","390746","6.36","53068","9.15","160967","51.3%","51.8%","27787","51.3%","40141","51.7%","67928","51.5%","93017","52.1%","-0.5pp"
"Cursed Windbreaker","U","U","110177","4.07","25239","5.18","121559","79.2%","55.4%","20659","55.2%","32062","58.6%","52721","57.3%","68834","54.0%","3.3pp"
"Daggermaw Megalodon","U","C","406384","6.65","51880","9.77","137765","44.3%","52.8%","23426","50.5%","36219","54.1%","59645","52.7%","78358","52.9%","-0.2pp"
"Don't Make a Sound","U","C","410204","7.00","54555","10.07","108673","33.1%","53.9%","18666","54.7%","27702","55.3%","46368","55.1%","62267","53.1%","2.0pp"
"Duskmourn's Domination","U","U","151313","5.85","24064","8.12","70705","49.1%","53.5%","10666","51.7%","18846","56.9%","29512","55.0%","41225","52.4%","2.6pp"
"Enduring Curiosity","U","R","17334","1.67","10864","1.67","60332","90.4%","56.2%","10211","61.3%","16392","60.0%","26603","60.5%","33936","52.8%","7.7pp"
"Enter the Enigma","U","C","430397","8.04","50323","11.59","28530","9.5%","50.7%","4508","46.4%","7266","53.4%","11774","50.7%","16768","50.7%","-0.0pp"
"Entity Tracker","U","R","19240","1.86","11259","1.85","63586","91.9%","56.4%","11360","63.8%","17261","60.0%","28621","61.5%","35168","52.3%","9.2pp"
"Erratic Apparition","U","C","400878","6.77","49738","9.88","127289","42.9%","52.5%","21691","51.2%","32298","53.8%","53989","52.7%","73404","52.4%","0.4pp"
"Fear of Failed Tests","U","U","150168","6.03","17275","9.14","30750","30.0%","50.7%","4778","49.6%","8036","51.8%","12814","51.0%","17999","50.4%","0.6pp"
"Fear of Falling","U","U","101369","3.68","23456","4.69","120792","85.9%","54.3%","19160","52.4%","32632","57.3%","51792","55.5%","69410","53.5%","2.0pp"
"Fear of Impostors","U","U","122593","4.57","20233","6.27","84055","69.8%","53.3%","13791","51.5%","21849","55.4%","35640","53.9%","48415","52.8%","1.0pp"
"Fear of Isolation","U","U","79494","2.95","29569","3.37","163758","90.1%","56.5%","28071","56.2%","44369","61.6%","72440","59.5%","91499","54.2%","5.3pp"
"Floodpits Drowner","U","U","83523","3.03","29766","3.55","164489","90.0%","56.1%","29070","55.8%","48622","60.8%","77692","58.9%","90567","53.8%","5.2pp"
"Get Out","U","U","136122","5.10","24237","6.89","92801","64.2%","54.0%","15286","53.0%","24662","56.7%","39948","55.3%","52852","52.9%","2.3pp"
"Ghostly Keybearer","U","U","114644","4.27","20134","5.67","82827","70.1%","52.0%","13756","50.1%","22554","54.6%","36310","52.9%","46706","51.3%","1.6pp"
"Glimmerburst","U","C","351366","5.33","70180","7.07","321144","75.1%","55.5%","53954","55.6%","84576","58.8%","138530","57.5%","182463","54.0%","3.6pp"
"Leyline of Transformation","U","R","73142","6.46","8975","9.89","229","0.4%","","1","","58","","59","","168","",""
"Marina Vendrell's Grimoire","U","R","71354","6.30","8776","9.63","498","0.9%","","83","","151","","234","","264","",""
"Meat Locker // Drowned Diner","U","C","311755","4.56","60903","6.20","301035","82.9%","53.8%","50468","51.1%","79494","58.1%","129962","55.4%","169815","52.6%","2.8pp"
"The Mindskinner","U","R","39398","3.54","8452","4.34","33461","66.4%","53.4%","5536","53.7%","9096","57.2%","14632","55.9%","18974","51.6%","4.3pp"
"Mirror Room // Fractured Realm","U","M","12911","2.48","4725","2.64","22908","81.2%","53.3%","3754","50.9%","6270","58.1%","10024","55.4%","12766","51.6%","3.8pp"
